SitID	UWI (AGS)	UWI
109856	0764050810000	00/10-08-076-05W4/0
109859	0764051610000	00/10-16-076-05W4/0
109862	0764052710000	00/10-27-076-05W4/0
109864	0764060111000	00/11-01-076-06W4/0
109868	0764060810000	00/10-08-076-06W4/0
109874	0764062610AA0	AA/10-26-076-06W4/0
109880	0764062809AA0	AA/09-28-076-06W4/0
109884	0764070610000	00/10-06-076-07W4/0
109889	0764071406AA0	AA/06-14-076-07W4/0
109891	0764071410AA0	AA/10-14-076-07W4/0
109901	0764072407000	00/07-24-076-07W4/0
109908	0764080810000	00/10-08-076-08W4/0
109909	0764081110000	00/10-11-076-08W4/0
109911	0764082310000	00/10-23-076-08W4/0
109912	0764083210000	00/10-32-076-08W4/0
109913	0764092007000	00/07-20-076-09W4/0
109914	0764092107000	00/07-21-076-09W4/0
109915	0764092610000	00/10-26-076-09W4/0
109917	0764100414000	00/14-04-076-10W4/0
109918	0764101312000	00/12-13-076-10W4/0
109920	0764101706000	00/06-17-076-10W4/0
142465	0764103608000	00/08-36-076-10W4/0
109924	0764111707000	00/07-17-076-11W4/0
109927	0764112710000	00/10-27-076-11W4/0
109928	0764113607000	00/07-36-076-11W4/0
109929	0764120807000	00/07-08-076-12W4/0
109930	0764122607000	00/07-26-076-12W4/0
109931	0764123106000	00/06-31-076-12W4/0
109932	0764123210000	00/10-32-076-12W4/0
109933	0764130702000	00/02-07-076-13W4/0
109935	0764131211000	00/11-12-076-13W4/0
109937	0764131806000	00/06-18-076-13W4/0
109938	0764132711000	00/11-27-076-13W4/0
109939	0764140506000	00/06-05-076-14W4/0
109941	0764141011000	00/11-10-076-14W4/0
109945	0764142006000	00/06-20-076-14W4/0
109946	0764142702000	00/02-27-076-14W4/0
109947	0764143010000	00/10-30-076-14W4/0
109949	0764150206000	00/06-02-076-15W4/0
109952	0764150807000	00/07-08-076-15W4/0
109954	0764151011000	00/11-10-076-15W4/0
109967	0764153207000	00/07-32-076-15W4/0
109970	0764160206000	00/06-02-076-16W4/0
109973	0764162207000	00/07-22-076-16W4/0
178311	0764162811000	00/11-28-076-16W4/0
109975	0764163208000	00/08-32-076-16W4/0
178312	0764163405000	00/05-34-076-16W4/0
109977	0764172010000	00/10-20-076-17W4/0
109978	0764172711000	00/11-27-076-17W4/0
109979	0764172806000	00/06-28-076-17W4/0
109981	0764173307000	00/07-33-076-17W4/0
153741	0764181502000	00/02-15-076-18W4/0
153742	0764182208000	00/08-22-076-18W4/0
164105	0764182701000	00/01-27-076-18W4/0
109984	0764183106000	00/06-31-076-18W4/0
178313	0764190611000	00/11-06-076-19W4/0
109985	0764191706000	00/06-17-076-19W4/0
178314	0764192806000	00/06-28-076-19W4/0
109987	0764193607000	00/07-36-076-19W4/0
109988	0764200610000	00/10-06-076-20W4/0
109989	0764201711000	00/11-17-076-20W4/0
109991	0764212608000	00/08-26-076-21W4/0
109992	0764213510000	00/10-35-076-21W4/0
109993	0764220611000	00/11-06-076-22W4/0
109996	0764222307000	00/07-23-076-22W4/0
109997	0764222912000	00/12-29-076-22W4/0
109998	0764223410000	00/10-34-076-22W4/0
110001	0764230710000	00/10-07-076-23W4/0
110003	0764232904000	00/04-29-076-23W4/0
110004	0764233510000	00/10-35-076-23W4/0
110008	0764242010000	00/10-20-076-24W4/0
110009	0764242210000	00/10-22-076-24W4/0
110014	0764250706000	00/06-07-076-25W4/0
110016	0764251011000	00/11-10-076-25W4/0
110018	0764251610000	00/10-16-076-25W4/0
110028	0764253606000	00/06-36-076-25W4/0
110029	0764260502000	00/02-05-076-26W4/0
110040	0764262507000	00/07-25-076-26W4/0
110042	0764263306000	00/06-33-076-26W4/0
110043	0765011211000	00/11-12-076-01W5/0
110044	0765012305000	00/05-23-076-01W5/0
110047	0765021011000	00/11-10-076-02W5/0
110052	0765022510000	00/10-25-076-02W5/0
110053	0765023006000	00/06-30-076-02W5/0
110054	0765030908000	00/08-09-076-03W5/0
110055	0765031216000	00/16-12-076-03W5/0
110057	0765031810000	00/10-18-076-03W5/0
110060	0765040506000	00/06-05-076-04W5/0
110061	0765042210000	00/10-22-076-04W5/0
110062	0765042810000	00/10-28-076-04W5/0
110064	0765043311000	00/11-33-076-04W5/0
110325	0774020605000	00/05-06-077-02W4/0
110326	0774022803000	00/03-28-077-02W4/0
142533	0774030306000	00/06-03-077-03W4/0
170632	0774033314000	00/14-33-077-03W4/0
142534	0774033411000	00/11-34-077-03W4/0
142535	0774040311000	00/11-03-077-04W4/0
110327	0774040609000	00/09-06-077-04W4/0
142536	0774041402000	00/02-14-077-04W4/0
142539	0774041905000	00/05-19-077-04W4/0
142543	0774050103000	00/03-01-077-05W4/0
142544	0774051304000	00/04-13-077-05W4/0
142545	0774052008000	00/08-20-077-05W4/0
142546	0774052207000	00/07-22-077-05W4/0
110334	0774060711000	00/11-07-077-06W4/0
142549	0774061307000	00/07-13-077-06W4/0
110336	0774061606000	00/06-16-077-06W4/0
110337	0774062507000	00/07-25-077-06W4/0
110341	0774070410000	00/10-04-077-07W4/0
110343	0774070611000	00/11-06-077-07W4/0
110355	0774072111000	00/11-21-077-07W4/0
110359	0774072910000	00/10-29-077-07W4/0
110362	0774080211000	00/11-02-077-08W4/0
110367	0774081110AA0	AA/10-11-077-08W4/0
110369	0774081203000	00/03-12-077-08W4/0
110376	0774082607AA0	AA/07-26-077-08W4/0
110379	0774090611000	00/11-06-077-09W4/0
110380	0774091106000	00/06-11-077-09W4/0
110382	0774092210000	00/10-22-077-09W4/0
110387	0774092615000	00/15-26-077-09W4/0
110391	0774101410000	00/10-14-077-10W4/0
142555	0774102502000	00/02-25-077-10W4/0
110392	0774102908000	00/08-29-077-10W4/0
110393	0774111109000	00/09-11-077-11W4/0
178371	0774111511000	00/11-15-077-11W4/0
110394	0774112210000	00/10-22-077-11W4/0
110395	0774113211000	00/11-32-077-11W4/0
110396	0774120210000	00/10-02-077-12W4/0
110398	0774121507000	00/07-15-077-12W4/0
110399	0774123210000	00/10-32-077-12W4/0
110400	0774131106000	00/06-11-077-13W4/0
170644	0774131802000	00/02-18-077-13W4/0
164140	0774132311000	00/11-23-077-13W4/0
164142	0774133408000	00/08-34-077-13W4/0
